Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;buek_1000_lba;humus_1000;hyraum_tr;preidl;Thuenen_2019;mundialis;swr1000;NDVI;stream_dist;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
9.74;9.646141304347827;26.195357471405856;16.26542930094746;14.76286237228383;26.82376651520332;27.33415259488812;17.483856168831167;14.33130223618226;17.501171692093962;15.088819094993232;521.9608;8769;1824.8287;4186701.179891602;-1197781.3054194672;1980254.16373556;-395440.19757652434;114210.42568240054;-311820.60276645457;125536.71181195014;-33107.38092948725;158587.34613594523;5841.114033381636;-80086.7866788408;79721.8473866787;-35997.036936891454;35985.79198762982;59833.98368988781;-15499.599008588564;-6975.8408619537895;8962.612542442526;-7217.228427594444;-35523.52545642367;-8581.988850066718;12380.80409102072
5.7;6.2286414652925846;14.716054901746322;16.26542930094746;5.405896908939014;11.539297583427059;17.54288021513301;17.483856168831167;14.33130223618226;17.501171692093962;15.088819094993232;436.16296;8909;1910.4973;2560352.426727496;-1387625.6375169025;-147943.7766591557;-301549.14323379163;228939.17915323476;150926.04796402509;-59219.23073613279;231511.50231860994;-26439.196661330065;20343.040917960494;24137.806732758138;-143.79493726548878;73998.08722645362;5140.842723905079;-30111.612861431717;21048.38721046065;7118.0073831448535;-3091.4602151261893;-15274.580818788158;20914.41416312405;-12617.719614366657;14029.177100649951
4.3;5.884674345972957;14.716054901746322;12.24379713076474;7.264247198879552;6.307144875451995;12.847137901318668;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;1189.321;8787;1345.3624;3549548.1588625605;-949510.3485771767;470779.9549732299;-409681.6423922061;-85647.5428457962;-70893.34141762118;-62978.56321969969;87841.96227181258;5176.95222807459;-89638.13139551003;-41.812109825363336;695.3408828640515;52177.83809625853;-56115.41607232701;-26024.85343066653;-52279.81041284961;3689.841508691806;6520.341914324579;26127.06411792822;5011.349188581783;30186.917349819854;-19657.693347415392
6.8;5.884674345972957;14.716054901746322;12.24379713076474;10.313957417582419;6.307144875451995;12.847137901318668;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;966.32916;8276;1236.9316;3773510.5151760066;-1065706.2874012587;919192.9207999478;-432934.2200112379;-27418.02872795377;-162337.0641286585;-6380.729468312614;72207.55236645641;53616.63269556142;-77529.07298049606;-42267.30437906509;27030.138551192165;30615.524972536026;-32709.6673498084;-12126.3574007009;-56552.74607111956;4543.542818038156;13797.088713453859;18183.635078636322;-9002.55149517603;15740.062122788251;-28563.583491419606
3.9421052631578952;5.884674345972957;14.716054901746322;15.321419345534755;8.355020108706725;6.307144875451995;12.847137901318668;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;1402.7561;8074;2549.5098;3899702.7486923514;-748834.786726503;920418.4251321289;-382355.12050526845;-168396.12397900395;-178689.7048351431;-12497.066604296082;-36205.4059604633;12956.54391574455;-85828.42037209647;-6894.328271033452;-23188.51703724996;-23541.63851820662;-45375.753563174534;-32919.397497282385;-28216.510757356078;1224.033327577876;-22221.233146646333;428.74322111461424;6889.419586316652;19047.827736165036;-18849.10345119294
2.35;5.884674345972957;10.02711741961742;12.24379713076474;7.264247198879552;6.307144875451995;12.847137901318668;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;754.77124;8260;1341.6407;4015363.5531630646;-458324.608850034;1096357.8577638504;-294679.82659688365;-245001.47025828037;-194042.6412528758;8745.573245762345;-137990.75964229702;-18871.22286542298;-54307.96065240418;25057.241131177307;-64599.058432060425;-63954.900141267965;-32459.83857772662;-50391.815501876656;18403.317985029225;1189.2603219085684;-38886.106275580525;-13625.060054766534;32332.635777712923;5615.449162161353;-13943.147082169377
6.319999999999999;6.2286414652925846;4.465740887161619;12.24379713076474;10.313957417582419;4.376105742296919;17.54288021513301;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;1048.584;8344;2022.3749;1232905.531956994;-1260620.3569585206;-1028078.0364790672;-67126.185313854;289395.06712450314;249223.08353860932;13797.675336505177;42936.30954705969;-51154.68604783344;33641.615474119;40980.23917634367;-12856.285229260948;-79402.91921227648;8890.717580987346;-11439.108656147337;-14619.717103782728;-5991.976103575519;-33722.02825647563;-31636.186470216373;-19641.268761884963;1647.3776807890797;-7546.281803425288
3.15625;5.884674345972957;14.716054901746322;12.24379713076474;2.978125;6.307144875451995;17.54288021513301;6.332843900867017;21.672669622131117;21.043459216319224;21.323300466086657;1025.2349;6683;2195.45;3039284.3912929436;-734881.8050917991;-257650.2552679473;-319635.21705507644;-134970.93604457297;102914.63760319857;-135306.62357139942;85868.38542614087;-45401.31527794523;-72057.48012379001;68091.66551959979;-9846.669707731931;62052.918564949825;-65773.00923071512;4078.6174277393943;-30739.067684959286;-4070.712697268718;-11843.753496903468;19906.970496874015;-218.52917785758012;40234.45747428946;27573.57273860036
11.14;29.3188380056557;24.16576027773148;16.26542930094746;25.87408646750302;20.7517949155092;17.54288021513301;26.317916495742367;22.507051563170506;17.501171692093962;15.088819094993232;609.05566;8657;2009.9751;3918401.195258606;-201505.76028872465;945255.5233024147;-209402.25103808384;-311932.3428058863;-143744.95657777696;-7892.356383925147;-174026.72497320533;-66291.76347554107;-29597.35897223827;54024.88153841165;-96087.63563603027;-57193.439805790964;-24592.774125591543;-64255.6784791953;42722.45405992831;2436.843559480319;-26591.390427558435;-7110.511882872881;44849.9073152858;-4866.959294183619;-17626.461333855896
6.55;6.3751046176046176;14.716054901746322;12.24379713076474;4.838031183932347;6.307144875451995;12.847137901318668;6.332843900867017;14.33130223618226;17.501171692093962;15.088819094993232;943.52;8544;509.90195;465549.34394807974;-1245915.2546716575;-1217516.2659333814;56687.33304889954;296905.5465217831;178256.74694654107;90411.06397696621;-78767.55745593824;-54224.75573700799;3676.2443697692124;8928.495073992035;-19407.104714187113;-90431.07291581211;-1045.2412949434975;-19414.436242909094;-55829.84188770746;-14048.376193481885;6890.2025869315485;7651.938453163488;-18344.595579031513;9846.417102299309;-15252.178492762132
