GW-Nummer,RECHTSWERT,HOCHWERT,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,buek_1000_lba,humus_1000,hyraum_tr,preidl,thuenen,mundialis,swr1000,NDVI,DHM,stream_dist,PD
0001/022-9,395548.1460352456,5286737.955162776,9.74,10.481602564102563,29.410839473109835,16.44231857149574,16.47313463640167,27.842979005932968,28.504426234576602,22.868574487107093,13.700309330148832,18.802605645916465,14.885978639115322,521.9608,8769,423,1824.8287,0.043378383
0001/117-3,419360.6870211893,5343828.080545606,5.7,6.797529761904762,16.14765832943913,16.44231857149574,6.846235171261488,15.718011907727398,18.13749049508475,22.868574487107093,13.700309330148832,18.802605645916465,14.885978639115322,436.16296,8909,277,1910.4973,0.03098456
0001/120-8,423138.0999800571,5307441.485334609,4.3,5.439050117577896,16.14765832943913,11.493313819987776,4.335476190476191,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,1189.321,8787,878,1345.3624,0.018590735
0001/121-0,413740.8796360505,5301683.785463935,6.8,5.439050117577896,16.14765832943913,11.493313819987776,10.483071771978022,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,966.32916,8276,789,1236.9316,0.012393824
0001/172-1,425289.23394870607,5290863.880351914,3.9421052631578952,5.439050117577896,16.14765832943913,15.755847977005795,13.251989766081872,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,1402.7561,8074,1103,2549.5098,0.03098456
0001/173-4,434800.6394366669,5279576.672044178,2.35,5.439050117577896,12.479940476190476,11.493313819987776,4.335476190476191,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,754.77124,8260,715,1341.6407,0.024787648
0001/214-0,441922.715033359,5372334.759103019,6.319999999999999,6.797529761904762,5.001063443223443,11.493313819987776,10.483071771978022,5.068161564625851,18.13749049508475,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,1048.584,8344,667,2022.3749,0.012393824
0001/219-3,438796.38264350407,5319363.703854015,3.15625,5.439050117577896,16.14765832943913,11.493313819987776,3.15625,7.802543881926793,18.13749049508475,7.844441811914373,23.522599454274093,21.52757275804285,22.901349823966026,1025.2349,6683,1003,2195.45,0.018590735
0001/223-0,446145.02678091725,5277798.059724022,11.14,28.320481359955053,24.285737193895233,16.44231857149574,24.86623683821948,20.20135929521678,18.13749049508475,26.197374767443005,23.774053949848756,18.802605645916465,14.885978639115322,609.05566,8657,437,2009.9751,0.055772208
0001/265-0,453713.034030707,5364862.757646092,2.5,6.797529761904762,5.001063443223443,11.493313819987776,14.35045426065163,11.286283577533577,18.13749049508475,7.989695210449927,13.700309330148832,18.802605645916465,22.901349823966026,1213.7423,8331,710,2140.0935,0.049575295
0001/269-1,456132.09398654266,5317541.589644086,9.553846153846154,20.728162222890923,9.553846153846154,21.63422205031631,18.042489181570065,18.3452777014652,18.13749049508475,7.989695210449927,23.522599454274093,21.52757275804285,14.885978639115322,542.5125,7856,756,1044.0306,0.03098456
0001/270-0,458311.2206465776,5315242.553124791,5.65,28.320481359955053,19.70046767355591,11.493313819987776,24.86623683821948,18.3452777014652,18.13749049508475,26.197374767443005,13.700309330148832,18.802605645916465,14.885978639115322,376.47263,8325,745,1300.0,0.03718147
0001/272-6,453113.3915871078,5283115.1286265375,38.9875,28.320481359955053,24.285737193895233,21.63422205031631,24.86623683821948,20.20135929521678,18.13749049508475,26.197374767443005,23.522599454274093,29.348398476523474,22.901349823966026,589.8876,7773,514,761.57733,0.024787648
0001/314-4,474849.6599199463,5377214.880659906,10.822222222222225,31.74928320283973,24.94874282731511,11.493313819987776,24.86623683821948,24.673790514351843,18.13749049508475,26.197374767443005,13.700309330148832,18.802605645916465,14.885978639115322,419.29044,8442,516,223.6068,0.06816603
0001/316-0,474479.8094693317,5357470.762583804,28.59166666666667,17.379100752159104,18.888213067802138,21.63422205031631,24.86623683821948,21.109630221498378,18.13749049508475,26.197374767443005,23.522599454274093,24.03742257980718,22.901349823966026,481.19424,7820,428,0.0,0.06196912
0001/318-5,468487.2168492426,5327787.5352388695,25.558823529411764,27.62732463798636,24.285737193895233,15.755847977005795,27.25165679048167,21.109630221498378,18.13749049508475,26.197374767443005,13.700309330148832,18.802605645916465,14.885978639115322,369.81503,7740,656,921.95447,0.012393824
0001/320-7,463489.1930073245,5310224.541990567,12.22222222222222,9.553777777777778,15.073246184536286,21.63422205031631,17.680982252638767,19.0296322496761,28.504426234576602,24.161227446869137,20.685096380783335,18.802605645916465,22.901349823966026,352.28888,7850,680,223.6068,0.049575295
0001/363-0,484385.9393956869,5388435.421350866,34.352631578947374,31.74928320283973,24.285737193895233,16.44231857149574,24.86623683821948,24.673790514351843,18.13749049508475,26.197374767443005,23.522599454274093,24.03742257980718,22.901349823966026,394.96536,7803,478,1004.98755,0.055772208
0001/364-2,485358.4972397841,5379963.869873841,27.04,28.519649722870422,16.14765832943913,21.63422205031631,27.25165679048167,27.842979005932968,28.504426234576602,24.161227446869137,23.522599454274093,24.03742257980718,22.901349823966026,374.27106,7270,544,3036.4453,0.055772208
0001/369-6,483371.2595078792,5318442.278813085,18.75,11.907452590811966,18.888213067802138,21.63422205031631,16.47313463640167,20.20135929521678,18.13749049508475,17.92783849941305,20.685096380783335,18.802605645916465,21.393505048413203,489.87122,6995,669,100.0,0.07436294
0001/370-5,476775.8629675003,5313418.274617215,3.625,11.907452590811966,24.94874282731511,11.493313819987776,16.47313463640167,20.20135929521678,18.13749049508475,17.69096373000219,13.700309330148832,18.802605645916465,14.885978639115322,532.05865,7866,780,781.02496,0.055772208
0001/415-1,492957.5412040293,5368411.471306137,33.3,27.62732463798636,24.285737193895233,16.44231857149574,24.86623683821948,20.20135929521678,18.13749049508475,26.197374767443005,20.685096380783335,18.802605645916465,21.393505048413203,267.1733,7199,358,100.0,0.049575295
0001/416-4,491448.0820002034,5359005.224390435,19.4,21.10233333333333,24.94874282731511,21.63422205031631,16.154166666666665,20.136589421403762,28.504426234576602,24.161227446869137,23.522599454274093,18.802605645916465,21.393505048413203,284.82028,6993,412,223.6068,0.024787648
0001/418-0,491777.96025903645,5328445.367047829,3.1,16.32757443718228,24.285737193895233,15.755847977005795,16.47313463640167,20.20135929521678,18.13749049508475,17.92783849941305,13.700309330148832,18.802605645916465,14.885978639115322,379.7702,8187,751,100.0,0.018590735
0001/455-3,509287.1158196781,5475690.5317447735,5.75625,13.775162812333866,16.14765832943913,15.755847977005795,18.042489181570065,11.286283577533577,18.13749049508475,21.457494500570313,13.700309330148832,18.802605645916465,14.885978639115322,550.28973,8469,340,223.6068,0.03098456
0001/464-7,502343.7026376864,5379946.78681707,7.8199999999999985,16.039917302196717,16.14765832943913,16.44231857149574,18.68846614218154,20.136589421403762,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,22.901349823966026,304.6543,8383,457,100.0,0.024787648
0001/467-5,503676.8349760726,5338431.709270389,7.3875,16.622845238095238,24.285737193895233,21.63422205031631,16.47313463640167,20.20135929521678,21.77232508866828,17.92783849941305,23.774053949848756,18.802605645916465,22.901349823966026,409.98062,5131,705,141.42136,0.03718147
0001/469-0,511818.86537365447,5316697.045653634,30.4,21.68469643099998,29.410839473109835,21.63422205031631,40.73047008547008,19.0296322496761,28.504426234576602,25.006545388084138,13.700309330148832,21.52757275804285,14.885978639115322,333.54996,7087,616,200.0,0.03098456
0001/471-2,503711.1263104852,5304591.976823557,12.72222222222222,27.969047619047615,16.14765832943913,15.755847977005795,18.988739572118057,21.694208880033564,18.13749049508475,24.34838678910636,13.700309330148832,18.802605645916465,14.885978639115322,335.6168,8389,665,1303.8405,0.018590735
0001/503-7,520876.65446547343,5496929.93335622,8.8375,6.797529761904762,18.888213067802138,22.76233892256531,14.35045426065163,15.718011907727398,18.13749049508475,21.457494500570313,20.685096380783335,18.802605645916465,21.393505048413203,302.83075,7645,211,100.0,0.006196912
0001/515-6,518908.4467968416,5364765.100097041,13.44,16.32757443718228,24.94874282731511,22.76233892256531,16.47313463640167,24.673790514351843,18.13749049508475,17.92783849941305,20.685096380783335,18.802605645916465,22.901349823966026,483.65558,6333,494,200.0,0.049575295
0001/521-9,516258.2237245824,5302479.706794391,0.5,21.68469643099998,19.70046767355591,11.493313819987776,18.988739572118057,21.694208880033564,15.285560202880214,24.34838678910636,23.522599454274093,18.802605645916465,14.885978639115322,333.97873,8202,577,141.42136,0.03718147
0001/557-6,528423.4671623192,5458605.250415105,9.2125,28.519649722870422,24.285737193895233,16.44231857149574,27.25165679048167,27.842979005932968,18.13749049508475,24.161227446869137,13.700309330148832,21.52757275804285,14.885978639115322,343.26093,8620,288,2561.2498,0.03098456
0001/558-9,530400.078777953,5439587.519889598,10.323076923076922,20.3162442541119,16.14765832943913,16.44231857149574,18.68846614218154,20.136589421403762,18.13749049508475,24.161227446869137,13.700309330148832,21.52757275804285,14.885978639115322,453.56256,8618,401,2831.9604,0.03718147
0001/560-0,535670.40914937,5425298.612949982,12.214285714285714,20.3162442541119,19.70046767355591,11.493313819987776,18.68846614218154,21.109630221498378,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,428.4384,8560,369,1835.756,0.043378383
0001/567-0,535546.0372035962,5343819.405758604,8.954545454545455,21.105690235690233,24.285737193895233,32.621982499584725,29.641651217140346,24.673790514351843,18.13749049508475,17.92783849941305,27.136624979958313,37.556903473510616,32.94428995206449,394.0687,7675,669,1780.4493,0.06816603
0001/571-7,524872.6470593454,5303831.339861068,48.77727272727272,28.524494949494947,29.410839473109835,21.63422205031631,27.660070172165,32.63532297979798,15.285560202880214,25.006545388084138,23.522599454274093,24.03742257980718,22.901349823966026,553.4162,7084,713,905.5385,0.043378383
0001/572-0,531426.2018471335,5286219.339520083,4.01,27.168748897707232,24.94874282731511,15.755847977005795,29.641651217140346,21.694208880033564,15.285560202880214,24.34838678910636,13.700309330148832,18.802605645916465,14.885978639115322,473.30362,8662,614,2126.029,0.043378383
0001/606-0,536379.3506544979,5471076.274301813,23.45,28.320481359955053,24.285737193895233,21.63422205031631,26.955423668405174,24.673790514351843,28.504426234576602,26.197374767443005,23.522599454274093,24.03742257980718,22.901349823966026,392.40997,7332,267,100.0,0.012393824
0001/622-6,545934.3392530202,5294084.323589404,27.3,22.58346409752967,15.073246184536286,15.755847977005795,17.680982252638767,22.915007538438573,28.504426234576602,25.006545388084138,23.522599454274093,18.802605645916465,22.901349823966026,398.03708,7997,432,200.0,0.049575295
0001/623-9,543504.3678375321,5277601.920708356,12.583333333333334,22.58346409752967,29.410839473109835,15.755847977005795,27.660070172165,21.694208880033564,15.285560202880214,25.006545388084138,23.774053949848756,18.802605645916465,14.885978639115322,474.35956,7920,448,2061.5527,0.07436294
0001/653-0,549177.5774363521,5503589.672703077,45.873333333333335,31.74928320283973,35.211587174399675,21.63422205031631,29.15184119541536,24.673790514351843,18.13749049508475,26.197374767443005,30.757112899178118,24.03742257980718,22.901349823966026,290.56128,6325,198,0.0,0.03718147
0001/657-0,549559.9952499165,5459110.026140118,29.661538461538463,17.379100752159104,18.888213067802138,16.71525461062019,26.321759822441305,20.20135929521678,18.13749049508475,26.197374767443005,20.685096380783335,18.802605645916465,21.393505048413203,377.22815,5802,215,0.0,0.06196912
0001/659-6,557391.6997269873,5434125.003503931,4.16,20.3162442541119,16.14765832943913,15.755847977005795,18.68846614218154,21.109630221498378,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,523.9168,8545,490,2563.2012,0.024787648
0001/660-5,559315.8947689143,5422184.790623901,7.7,16.039917302196717,16.14765832943913,11.493313819987776,18.68846614218154,20.136589421403762,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,345.20108,8707,471,1972.3083,0.03098456
0001/668-7,556648.471966177,5333616.83131016,35.980000000000004,27.028360873457025,29.410839473109835,21.63422205031631,33.126414141414145,32.63532297979798,18.13749049508475,25.006545388084138,23.522599454274093,21.52757275804285,22.901349823966026,321.01022,7064,555,360.5551,0.086756766
0001/670-9,561524.9900133184,5309060.330462182,10.422222222222222,27.168748897707232,16.14765832943913,11.493313819987776,26.887007575757575,32.63532297979798,15.285560202880214,24.34838678910636,13.700309330148832,18.802605645916465,14.885978639115322,549.3069,8114,705,2109.5022,0.06196912
0001/671-1,551377.0792964236,5302057.086781406,27.55,21.68469643099998,29.410839473109835,15.755847977005795,18.988739572118057,21.694208880033564,15.285560202880214,24.34838678910636,13.700309330148832,18.802605645916465,14.885978639115322,327.81058,8464,579,2863.5642,0.049575295
0001/709-2,568747.176414253,5436354.026407367,24.275,20.3162442541119,16.14765832943913,15.755847977005795,18.68846614218154,20.136589421403762,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,293.94305,8682,458,2370.6538,0.024787648
0001/710-1,569042.0203615701,5427537.587646844,14.875,20.3162442541119,16.14765832943913,11.493313819987776,18.68846614218154,20.136589421403762,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,357.31937,7954,452,1923.5385,0.03098456
0001/719-6,568808.435810476,5318775.885808644,73.62,27.028360873457025,29.410839473109835,21.63422205031631,42.23814814814815,32.63532297979798,15.285560202880214,24.34838678910636,32.15888961260188,18.802605645916465,14.885978639115322,447.59882,7413,674,1252.9965,0.03098456
0001/721-8,563357.2803119142,5304814.108602347,16.2,22.58346409752967,21.2334404358268,32.621982499584725,27.660070172165,32.294795482295484,28.442533238366575,25.006545388084138,20.685096380783335,18.802605645916465,27.599165140415142,517.2915,6815,653,200.0,0.049575295
0001/757-5,577832.5443520608,5453549.235192372,42.4,28.519649722870422,19.70046767355591,21.63422205031631,27.25165679048167,18.3452777014652,28.504426234576602,24.161227446869137,23.522599454274093,18.802605645916465,22.901349823966026,360.85013,7408,443,2247.2205,0.055772208
0001/758-8,582751.598689948,5444468.838084742,4.24,27.90668831168831,16.14765832943913,16.44231857149574,26.352277401300746,21.109630221498378,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,414.2002,8431,526,3534.1194,0.06196912
0001/759-0,581788.0614565199,5435998.032028671,7.32,20.3162442541119,16.14765832943913,16.44231857149574,26.352277401300746,21.109630221498378,18.13749049508475,24.161227446869137,13.700309330148832,18.802605645916465,14.885978639115322,380.92612,8382,494,670.8204,0.03098456
0001/770-3,582291.6205422598,5306396.41680627,12.283333333333331,27.028360873457025,16.14765832943913,11.493313819987776,29.641651217140346,22.915007538438573,18.13749049508475,25.006545388084138,23.522599454274093,18.802605645916465,14.885978639115322,551.19653,7675,633,1118.0339,0.03098456
0001/771-6,581956.7438330377,5302552.933091821,19.25555555555556,27.168748897707232,16.14765832943913,11.493313819987776,42.23814814814815,27.842979005932968,18.13749049508475,12.881851851851854,13.700309330148832,18.802605645916465,22.901349823966026,626.8578,8103,671,670.8204,0.043378383
0001/812-1,590112.4987388747,5400189.559447509,21.65,20.39906846962561,16.14765832943913,11.493313819987776,16.47313463640167,24.673790514351843,28.504426234576602,17.92783849941305,23.774053949848756,18.802605645916465,22.901349823966026,426.25415,7220,552,1063.0145,0.024787648
0001/814-7,596205.502739115,5378162.942645341,31.43333333333333,27.028360873457025,18.888213067802138,16.71525461062019,17.680982252638767,27.842979005932968,18.13749049508475,25.006545388084138,20.685096380783335,18.802605645916465,21.393505048413203,244.35355,4867,441,300.0,0.049575295
0002/117-9,419016.8121068277,5346400.00300211,4.8,5.0390073529411765,16.14765832943913,15.755847977005795,10.483071771978022,15.718011907727398,18.13749049508475,22.868574487107093,13.700309330148832,18.802605645916465,14.885978639115322,614.82935,8602,351,3190.6113,0.024787648
0002/121-6,422580.4045668262,5297659.505000867,3.955555555555556,5.439050117577896,16.14765832943913,11.493313819987776,6.846235171261488,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,1321.7905,8534,872,500.0,0.03718147
0002/165-1,432100.5229672364,5365218.804187735,5.699999999999999,5.439050117577896,16.14765832943913,16.44231857149574,10.483071771978022,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,21.52757275804285,22.901349823966026,1005.80975,7885,483,2758.6228,0.018590735
0002/221-0,445276.4525023471,5296209.994320761,0.65625,4.955113636363636,12.479940476190476,11.493313819987776,13.251989766081872,7.802543881926793,15.285560202880214,7.844441811914373,13.700309330148832,18.802605645916465,14.885978639115322,698.8549,8169,981,640.31244,0.018590735
0002/223-6,449186.0011715981,5272199.401326531,6.8,11.907452590811966,24.285737193895233,16.44231857149574,16.426468402870842,22.915007538438573,28.504426234576602,17.69096373000219,13.700309330148832,18.802605645916465,14.885978639115322,590.7926,8367,466,1700.0,0.055772208
0002/265-6,458193.2592335068,5369460.958983554,2.825,20.728162222890923,12.479940476190476,11.493313819987776,18.042489181570065,11.286283577533577,18.13749049508475,7.989695210449927,13.700309330148832,18.802605645916465,14.885978639115322,792.0112,7422,675,2500.0,0.049575295
0002/268-4,457194.6730900672,5331890.865020854,5.675,20.728162222890923,16.14765832943913,21.63422205031631,14.35045426065163,11.286283577533577,18.13749049508475,7.989695210449927,23.774053949848756,21.52757275804285,14.885978639115322,622.1293,7286,748,1900.0,0.03718147
0002/269-7,460559.259305067,5322464.745453539,17.45,28.320481359955053,24.285737193895233,11.501429745468206,24.86623683821948,24.673790514351843,18.13749049508475,26.197374767443005,20.685096380783335,18.802605645916465,21.393505048413203,543.1146,5338,707,500.0,0.024787648
