Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
23.12;544;28;15;604;7;6203;888;20;6953
37.43125;517;2;16;596;7;6301;160;20;7223
52.23333333;290;14;15;514;8;4101;34;20;7411
1.6;308;5;2;24;8;4104;888;40;5745
31.10298507;569;5;3;579;5;6402;888;20;7844
2.42;263;32;3;85;5;3101;888;40;3927
3.45;559;2;17;615;8;6202;888;10;8541
15.6375;544;4;15;612;7;6202;10;20;8048
30.4;530;28;16;594;7;6203;888;10;8284
32.98888889;530;28;16;602;7;6203;888;20;8102
0.6;467;5;3;24;7;6301;888;50;4393
38.00666667;537;28;18;602;7;6203;888;20;7890
11.91428571;505;28;17;583;7;6302;888;10;8228
8.02;573;28;17;579;7;6402;888;10;8024
5.8;524;2;2;598;5;6301;888;40;5350
12.38;544;28;3;607;5;6203;888;40;5784
33.56190476;469;32;12;603;5;6301;555;20;6584
7.716666667;515;2;17;596;5;6301;888;10;8656
0.5;521;14;3;597;5;6301;888;40;4007
36.12222222;321;14;12;113;5;4104;91;20;6808
20.60833333;544;32;11;607;12;6203;888;20;4721
4.1;469;32;2;607;7;6203;888;20;6908
11.0125;290;17;16;98;8;4101;888;10;8319
5.977777778;505;17;16;579;7;6402;888;10;8700
23.86;321;14;2;113;5;4104;888;40;4935
3.16;1065;2;17;833;8;10101;888;10;8396
10.51;263;2;12;85;8;3101;888;40;5471
0.5;508;5;15;583;5;6302;888;20;7410
12.76666667;469;32;11;603;7;6203;888;20;5729
22.725;548;17;15;602;7;6203;888;20;7053
5.375;505;17;17;579;7;6302;888;10;8522
9.69;299;14;21;113;7;4101;888;20;6964
27.32727273;530;32;21;603;12;6203;999;20;7034
32.2;469;32;1;603;5;6203;555;20;4609
23.28;321;5;12;579;7;4104;91;20;7135
25.81875;521;32;12;597;5;6301;80;20;8287
50.1;508;15;2;585;7;6302;888;20;5000
6.725;505;28;16;579;7;6402;888;10;8782
42.66;544;28;2;604;7;6203;888;40;7784
47.83333333;321;14;12;113;5;4104;888;20;6255
51.6;524;34;12;598;5;6301;60;60;6301
27.21666667;524;17;15;598;5;6301;31;20;6560
0.366666667;521;5;2;597;7;6301;888;40;5865
16.83478261;482;17;12;512;5;6501;10;40;6323
8.266666667;267;17;7;24;7;3101;888;50;6449
6.476923077;263;14;12;65;5;3101;888;40;5197
4.8;503;3;15;615;7;10101;888;10;8412
22.1375;544;17;15;602;7;6203;10;20;7192
31.31666667;537;28;15;602;7;6203;888;20;7592
9.7;573;12;15;579;7;6402;555;20;6861
23.52;567;17;2;579;8;6402;888;10;6425
32.03;524;5;12;598;5;6301;888;20;6431
9.5;573;28;16;579;7;6402;888;20;8118
18.125;544;28;2;607;7;6203;888;40;6512
7.26;469;32;15;603;7;6203;555;20;6636
23.025;573;17;1;579;7;6402;888;40;6314
12.2;495;28;2;579;7;6402;888;20;5979
43.075;530;34;12;603;5;6203;10;10;6917
0.94;469;32;3;607;7;6203;888;40;4659
9.76;469;32;15;604;5;6203;888;20;6212
0.32;524;2;3;598;7;6301;888;40;5861
23.06;321;5;3;24;12;4104;888;40;5200
40.525;321;14;12;98;8;4104;91;60;6961
7.928571429;524;34;15;598;7;6301;555;20;7711
49.2;524;14;15;598;5;6301;888;40;5945
39.98;524;5;12;598;5;6301;92;60;5888
1.225;471;5;2;598;12;6301;888;10;5398
4.1;559;3;2;615;8;6202;888;10;6526
9.475;548;3;17;602;7;6202;888;10;8035
5.171428571;517;2;15;585;7;6301;10;20;7743
41.84;521;17;14;94;5;6301;999;40;6168
15.4;548;17;12;602;7;6203;10;20;6611
26.58333333;544;28;2;602;7;6203;888;20;5918
7.0375;469;32;15;579;7;6402;10;20;8036
4.175;505;17;15;583;7;6402;10;20;7819
27.90869565;524;32;12;598;5;6301;555;20;5389
53.66666667;508;14;12;585;5;6302;888;20;7277
10.86666667;290;14;12;24;7;4101;888;20;7957
50.42941176;548;17;12;607;5;6201;10;20;7107
45.96;544;17;2;607;5;6203;888;40;6176
17.46;303;17;2;579;7;6402;888;40;4615
23.94;495;28;15;579;7;6402;888;20;8048
20.7;321;5;12;24;5;4104;555;20;6912
14.65;321;14;15;98;3;4101;10;20;7027
41.81052632;557;32;16;612;7;6201;888;10;8341
40.94;530;28;3;603;5;6203;888;40;6395
3.14;524;34;12;598;5;6301;120;40;5981
13.03076923;324;5;1;24;12;4104;888;40;4120
39.675;567;28;16;512;7;6402;888;10;8523
5.55;557;3;18;610;7;6202;888;20;7873
15.2;548;4;15;610;7;6202;10;20;8099
41.775;544;14;3;607;12;6203;888;40;7129
13.775;557;32;3;615;7;6202;888;40;7057
25.55;548;17;2;602;7;6203;888;40;5349
32.95;524;14;15;598;5;6301;10;20;7069
29.3;505;32;3;583;7;6402;888;40;6845
17.425;469;32;3;583;7;6402;888;40;6068
7.64;505;28;16;579;7;6402;888;20;8396
31.86;290;14;15;223;5;4104;888;20;6625
20.46666667;537;32;15;603;5;6203;10;20;7168
6.36;495;28;15;579;7;6402;888;20;7681
19.55454545;321;5;14;113;7;4104;160;20;6668
11.08;469;32;3;604;7;6203;888;40;5734
70.07142857;321;14;15;113;7;4104;888;20;6473
33.49090909;321;32;16;24;5;4104;888;20;7483
27.05;321;14;15;98;8;4104;10;20;7773
61.8375;524;5;12;598;5;6301;91;40;6773
3.8;524;34;2;598;12;6203;888;40;5570
67.8625;482;17;12;511;5;6501;31;60;6178
20.57333333;530;2;17;602;7;6203;888;10;7104
14.68333333;557;2;15;612;7;6202;555;10;8017
22.73333333;465;32;10;607;12;6203;888;10;8139
18.25;544;34;3;602;7;6203;888;40;6070
13.04285714;544;28;15;602;7;6202;888;20;7802
2.866666667;515;34;15;594;7;6302;888;20;8046
11.3;505;17;3;579;7;6402;888;20;5372
15.0375;573;28;15;579;7;6402;10;20;7429
5.25;559;2;16;615;7;6201;888;10;7526
38.11428571;286;14;12;98;5;4101;34;60;6668
28.0875;537;28;12;604;7;6203;555;10;7706
7.15;524;2;2;598;12;6301;888;20;5516
4.366666667;524;14;12;598;5;6301;888;50;3977
17.8;524;2;15;598;5;6301;10;20;6858
46.03;290;14;12;514;7;4104;41;60;7337
0.825;321;14;12;98;8;4104;10;20;7289
19.6;321;14;15;113;8;4101;10;20;7835
14.2;515;5;2;596;5;6301;555;20;6082
1.84;524;5;2;598;5;6301;888;40;5426
10.125;568;28;2;579;7;6402;888;40;4403
62.06666667;480;14;12;512;5;6501;120;20;6661
2.68125;548;4;17;610;7;6202;888;10;8635
3.65;559;3;17;612;7;6202;888;10;8410
3.544444444;559;3;17;612;8;6202;888;10;8566
12.18;559;3;18;610;7;6202;888;10;8290
3.3125;548;4;15;610;7;6202;555;20;7667
19.7;524;2;15;602;7;6301;888;20;7111
20.7125;487;34;15;585;7;6301;10;20;7277
17.2;548;32;10;610;12;6203;888;10;7232
50.65;544;22;4;607;12;6203;888;40;2933
8.06;537;17;15;602;7;6203;10;20;7650
36.14;537;28;2;602;7;6203;888;40;7123
29.8;576;17;3;583;5;6402;888;40;4824
33.1125;521;17;2;597;5;6301;888;20;4664
28.975;505;32;1;579;12;6402;888;40;3395
37.1125;286;14;17;514;8;4101;888;10;7167
19.075;321;14;12;98;5;4101;10;20;7422
31;548;15;12;610;5;6201;10;20;6176
10.82;469;32;15;603;5;6203;60;20;7122
0.44;321;32;15;24;5;4104;555;10;6817
26.36666667;537;28;15;603;7;6203;160;20;7293
0.442857143;524;5;12;598;5;6301;91;60;6318
25.83125;324;2;17;98;8;4104;10;20;8091
36.46666667;324;26;2;516;5;4104;888;40;6205
2.5125;502;3;17;659;8;10101;888;10;8384
5.925;559;2;17;612;7;6202;888;10;8385
5.625;559;3;17;615;7;6202;888;10;8159
6.816666667;557;2;17;612;7;6202;888;10;8132
24.1875;263;14;3;659;7;3101;888;20;4763
41.925;524;14;2;598;5;6301;888;40;5936
27.75;548;15;16;610;5;6201;888;20;8397
