GW-Nummer,GWL,x,y,eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM
312,171.9092,405957.0037,5336823.847,133.5734,52.4533,-1.0604,64.2133,47.9992,134.2,2.5083,0.7685,174
313,207.4176,410301.2846,5322123.626,133.5734,52.6542,-1.1082,65.0767,42.2742,134.725,2,0.8003,207
314,195.4574,400992.0036,5312624.431,133.5734,50.6192,-0.9426,65.3667,39.8617,135.7775,2.0167,0.5708,199
315,121.1954,438630.0651,5402316.841,170.8073,51.58,-1.2154,63.5,48.8208,131.7425,2.875,0.6684,126
316,112.8146,439016.9195,5409603.942,120.7396,50.6058,-1.3032,64.1492,46.7517,131.4708,2.65,0.8231,115
317,142.7792,412437.4899,5370022.653,120.7396,50.0325,-1.5368,64.4483,49.1733,132.8783,1.9167,0.7178,142
318,158.3278,404250.7298,5350383.463,120.7396,51.3825,-1.2736,64.9942,48.3525,133.8167,1.975,0.7669,158
319,172.4662,407091.5577,5337338.642,133.5734,52.6342,-1.1058,63.78,47.9158,134.0083,2.7083,0.5645,171
320,190.0635,400929.9802,5322043.694,133.5734,53.5467,-0.9866,65.3317,45.5267,135.6608,3.1083,0.734,188
321,138.4559,417141.6183,5377221.794,120.7396,50.7833,-1.4982,64.2992,49.9208,132.4233,2.15,0.597,138
322,95.6948,457011.8116,5453062.671,120.7396,44.9192,-1.8016,64.3392,44.9317,129.72,2.0833,0.8318,105
323,187.757,396170.887,5320740.214,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.6524,189
324,205.1154,394781.5082,5298299.162,133.5734,47.46,-0.7963,64.1217,34.6383,136.1917,2.2167,0.6913,223
325,146.1541,410532.244,5365147.591,120.7396,50.1767,-1.4729,64.0742,49.11,132.9483,2.1583,0.7882,152
326,163.1821,408920.8536,5344740.705,133.5734,52.44,-1.1492,64.095,48.5075,133.6975,2.8583,0.5319,168
327,171.4804,403386.0118,5335512.367,133.5734,52.4992,-1.0478,64.4883,48.4725,134.2817,2.5417,0.4718,173
328,225.8621,409303.6873,5316809.718,133.5734,51.1058,-1.031,64.6258,39.6225,135.44,2.125,0.7637,232
329,154.5037,422315.5335,5364822.723,133.5734,52.7433,-1.3423,63.9217,50.9992,132.5592,2.6417,0.6421,159
330,107.5596,441595.895,5419115.166,120.7396,47.9283,-1.4983,63.2008,44.9183,131.7792,2.4167,0.7303,113
331,87.2337,459600.8649,5492361.102,92.1853,44.8758,-1.9344,65.3267,45.3917,126.5225,1.4,0.7205,90
332,106.8198,461997.8274,5440914.487,133.5734,46.6517,-1.7654,63.9042,48.56,130.235,2.4,0.6647,112
333,141.4698,423105.2268,5376508.074,133.5734,52.8367,-1.3126,63.445,52.4567,132.2233,2.9667,0.7957,148
334,154.9904,422245.5615,5365862.308,133.5734,52.7433,-1.3423,63.9217,50.9992,132.5592,2.6417,0.5177,161
335,206.9215,414028.8147,5326178.027,133.5734,52.3633,-1.1239,63.1792,44.2625,134.0992,2.6417,0.8263,213
336,117.2447,442394.5748,5409247.086,133.5734,50.965,-1.2755,64.0792,47.57,131.3633,2.8417,0.7831,123
337,107.6983,470046.6302,5442808.708,133.5734,47.2358,-1.8173,63.9283,50.7258,129.4375,2.4167,0.4636,111
338,190.6121,398020.1643,5318346.155,120.7396,51.5833,-0.9154,65.8467,42.2,135.5892,2.3,0.494,194
339,207.0217,396299.9023,5297679.41,133.5734,47.46,-0.7963,64.1217,34.6383,136.1917,2.2167,0.6307,225
340,134.5482,412859.3375,5380046.674,120.7396,50.28,-1.5935,65.3317,49.1117,132.1,1.6417,0.4604,141
341,112.2269,438234.2314,5410007.781,120.7396,49.7508,-1.3992,63.4758,45.9792,131.825,2.4583,0.7429,121
342,98.8911,461404.0698,5450763.57,120.7396,45.9583,-1.8293,64.385,48.0175,130.26,2.1833,0.7026,114
343,96.8063,475642.4322,5474234.173,92.1853,48.3108,-1.8554,64.9658,54.695,127.1683,1.7917,0.6726,112
344,187.8912,394802.44,5319576.675,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.6648,196
345,141.9028,413344.1302,5371666,120.7396,50.0325,-1.5368,64.4483,49.1733,132.8783,1.9167,0.5393,141
346,218.1778,415426.26,5323941.909,133.5734,52.6475,-1.1116,64.4583,42.1933,134.4708,2.225,0.5984,226
347,107.7822,444721.6513,5419072.182,120.7396,47.88,-1.4782,62.6783,45.96,131.8542,2.625,0.8917,115
348,98.8777,461404.0698,5450763.57,120.7396,45.9583,-1.8293,64.385,48.0175,130.26,2.1833,0.7026,114
349,131.3932,418587.056,5386264.206,120.7396,49.9225,-1.5432,63.0958,50.4158,132.2708,2.325,0.5415,134
350,141.8579,418883.917,5375691.4,133.5734,51.0183,-1.474,63.955,50.725,132.4642,2.0917,0.6849,142
351,114.7231,439120.8772,5408242.484,120.7396,51.6967,-1.2576,64.3733,47.8917,131.8333,2.75,0.6519,128
352,94.9577,472766.5927,5490016.96,133.5734,46.3633,-1.9772,64.4,53.3292,126.115,1.925,0.6293,99
353,94.4006,468266.3774,5472250.998,92.1853,47.555,-1.8784,65.3933,51.2392,127.6525,1.6917,0.4116,105
354,189.0768,396353.8224,5319362.757,120.7396,50.9108,-0.8855,66.1508,41.6825,135.8892,2.325,0.567,194
355,213.4765,410353.2655,5320932.093,133.5734,53.3517,-1.0932,66.6167,40.29,135.0025,1.675,0.7738,219
356,133.5378,421475.8989,5385854.369,120.7396,50.0817,-1.4869,61.9117,51.365,132.2933,2.575,0.8471,143
357,222.9821,414690.5507,5321286.951,133.5734,53.2258,-1.1142,64.7483,41.2658,134.3583,2.1833,0.7574,228
358,96.2203,469996.6764,5466611.226,92.1853,47.4342,-1.8583,64.66,52.3767,128.2375,2.025,0.8215,112
359,104.6359,466954.8636,5449691.975,92.1853,46.43,-1.8109,64.1925,49.6708,129.8242,2.2583,0.589,112
360,142.1766,410326.3334,5370114.617,120.7396,49.6508,-1.4654,65.0867,48.4675,133.1017,1.675,0.6246,141
361,172.2672,402690.2756,5333380.213,133.5734,53.52,-0.9798,65.2333,48.1558,134.68,2.9417,0.5675,173
362,144.964,415516.2564,5368721.17,133.5734,50.445,-1.4928,64.0125,49.765,132.8192,2.05,0.8842,155
363,223.4873,416772.7265,5324833.562,133.5734,52.5567,-1.1182,62.9033,42.9775,134.2167,2.8167,0.527,233
364,107.9355,442467.5485,5418523.399,120.7396,47.88,-1.4782,62.6783,45.96,131.8542,2.625,0.8845,114
365,99.0083,455310.4719,5438873.315,120.7396,45.7575,-1.7318,64.2942,45.635,130.8475,2.2333,0.7302,106
366,105.6215,468838.1133,5447737.747,133.5734,46.43,-1.8109,64.1925,49.6708,129.8242,2.2583,0.8313,115
367,197.0238,394990.4173,5306999.692,120.7396,47.8317,-0.9023,65.0858,36.2392,136.215,1.825,0.7811,207
368,208.2708,393909.8575,5295651.217,133.5734,46.4558,-0.7358,64.6425,33.5933,136.315,1.85,0.5663,227
369,135.7553,413758.9764,5378787.174,120.7396,50.28,-1.5935,65.3317,49.1117,132.1,1.6417,0.574,139
370,206.1492,407968.2087,5320433.299,133.5734,51.91,-0.9927,65.1392,40.9342,135.3533,1.9083,0.5871,208
371,145.3707,414291.7446,5367176.784,133.5734,50.6608,-1.4624,63.9675,49.3933,132.9342,2.2833,0.6542,145
372,211.7969,414131.7728,5323344.14,133.5734,52.6475,-1.1116,64.4583,42.1933,134.4708,2.225,0.8412,216
373,107.5453,443784.0246,5418526.398,120.7396,47.88,-1.4782,62.6783,45.96,131.8542,2.625,0.8835,114
374,107.7306,463612.1876,5439946.868,133.5734,46.9783,-1.8172,64.0508,49.2833,130.0117,2.3583,0.5371,113
