x,y,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,humus_1000,hyraum_tr,Thuenen_2019,mundialis,NDVI
475914.2242,5358915.179,15.275,530,32,7,602,7,6203,888,40,5567
483101.3665,5324408.914,8.1,505,17,15,583,7,6402,10,20,8054
479158.8633,5294800.809,31.68333333,286,17,12,514,7,6402,91,60,7728
497555.6277,5370276.69,27.23333333,469,32,15,444,7,6301,888,40,7462
489194.8972,5351100.866,6.3125,508,14,12,585,7,6302,888,10,7352
503589.3692,5473473.361,8.16,557,2,17,612,7,6201,888,20,7802
511143.1544,5378902.209,7.35,508,14,12,595,7,6302,888,20,8052
512939.6901,5478767.259,12.94,557,16,17,610,7,6201,888,10,8355
519816.6914,5312793.675,17.81333333,321,12,15,33,7,4104,10,20,7260
521786.0866,5290132.721,25.95,321,14,2,24,8,4104,888,40,5855
535480.4374,5408845.177,6.3,515,2,16,596,7,6301,888,10,8537
533307.9738,5383732.021,27.34,469,17,12,583,5,6302,160,20,6298
533739.7912,5341939.933,25.26363636,495,32,15,579,7,6402,888,20,7421
540588.4066,5460275.526,18.9125,537,28,2,604,5,6203,888,40,6515
541857.8874,5422914.488,1.31875,515,2,17,596,7,6301,888,10,8225
542432.7142,5298294.563,2.35,290,14,15,98,8,4101,10,20,7411
542093.0763,5271909.204,18.9,321,42,15,24,12,4104,160,20,7670
558991.1313,5432495.598,5.26,516,2,16,596,7,6301,888,10,8868
551483.9628,5404287.061,10.53333333,515,2,17,596,7,6302,888,10,8189
560735.5768,5480547.423,31.62666667,544,32,15,607,7,6203,555,20,6955
579267.9806,5450483.421,0.28,521,34,12,597,7,6301,888,40,6946
579707.8517,5445315.472,45.5,521,34,2,597,7,6301,555,20,6489
582047.7344,5407420.656,8.422222222,571,28,16,579,7,6402,888,20,8586
596106.1489,5411953.847,18.99,571,28,16,579,7,6402,888,10,7912
426173.9793,5284200.791,3.28,1068,2,17,834,8,10101,888,10,8422
458633.063,5368092.454,2.066666667,548,4,3,610,12,6202,888,40,3965
451303.9698,5348858.988,7.533333333,1065,32,3,752,8,10101,888,40,7637
454414.7583,5329705.8,4.3,1065,2,17,752,7,6202,888,10,7806
468392.2209,5350218.707,18.1,469,32,3,602,7,6203,888,40,6370
468613.1381,5349170.074,15.74,469,32,3,602,7,6203,888,40,6196
479446.1702,5415546.526,19.025,469,32,3,607,12,6203,888,40,5180
483504.2475,5282943.412,17.51666667,290,14,16,98,8,4101,888,10,8197
488337.3962,5456736.068,33.20666667,530,17,12,598,5,6203,10,20,6667
493677.1926,5343249.5,1.069230769,505,2,17,579,7,6302,888,10,8384
510787.4719,5461192.355,29.22,469,32,3,94,5,6203,888,40,4242
507033.8689,5436527.174,39.9125,521,32,3,597,5,6301,888,40,4585
501364.0832,5301338.219,32.18,311,14,15,516,7,4101,91,20,7133
522579.9611,5509668.869,7.35,559,5,16,615,7,6201,888,20,6769
522255.6987,5322504.77,45.34,290,17,15,516,8,4101,10,20,7245
520771.5245,5285191.731,6.266666667,290,14,16,514,8,4101,888,20,8684
535526.6509,5462431.735,27.4,530,28,15,598,5,6203,10,20,5917
529112.9451,5409344.952,8.971428571,521,2,16,596,7,6301,555,10,8736
533263.5685,5344974.196,25.23333333,495,28,16,579,7,6402,888,20,7907
528877.1956,5298325.482,31.85,290,14,18,317,8,4101,888,10,8331
529485.979,5292012.086,10.94,321,32,15,24,8,4104,888,20,6317
546176.4191,5461334.138,23.175,469,32,3,610,5,6203,888,20,5432
541121.3689,5460027.785,4.86,537,32,3,604,7,6203,888,40,5372
541323.1869,5438702.251,21.66,515,2,15,596,7,6301,888,20,7860
548184.3768,5431170.239,8.35,515,2,17,596,7,6301,888,10,8576
542382.7272,5297844.825,33.175,290,14,12,98,8,4101,555,20,7325
545353.6847,5277495.997,16.53333333,290,14,15,98,8,4101,10,20,8268
544182.1654,5271665.357,17.5,321,14,2,113,12,4104,888,40,6348
561577.1741,5455542.46,23.12,544,28,15,604,7,6203,888,20,6953
568619.2217,5431307.146,37.43125,517,2,16,596,7,6301,160,20,7223
568461.4929,5319896.576,52.23333333,290,14,15,514,8,4101,34,20,7411
574347.473,5354526.695,1.6,308,5,2,24,8,4104,888,40,5745
600402.8278,5392823.014,31.10298507,569,5,3,579,5,6402,888,20,7844
