eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM,x,y,GWL
133.57339030392856,51.7025,-1.4127500000000002,63.86833333333333,51.26416666666667,132.29166666666669,2.375,0.6831,141,420866.1248,5376787.964,141.3187068
133.57339030392856,50.445,-1.49275,64.0125,49.765,132.81916666666666,2.05,0.8285,152,416098.0244,5369590.824,144.7184481
133.57339030392856,47.31833333333333,-1.9264166666666669,64.515,56.46166666666667,126.2225,2.2583333333333333,0.6674,97,474573.8759,5494518.17,94.3064791
120.73956398590605,46.37583333333333,-1.848,64.48916666666666,50.11916666666667,129.06,2.1333333333333333,0.804,113,467496.6605,5459209.18,98.75930169
120.73956398590605,50.910833333333336,-0.8855,66.15083333333334,41.682500000000005,135.88916666666668,2.325,0.7448,192,396884.6251,5317011.684,190.8846019
120.73956398590605,50.01666666666667,-1.6501666666666668,65.61416666666666,48.670833333333334,132.13833333333335,1.6083333333333334,0.6725,136,413599.049,5384015.099,132.6490458
133.57339030392856,52.63416666666667,-1.10575,63.78,47.91583333333334,134.00833333333333,2.708333333333333,0.6516000000000001,178,408473.0091,5335870.221,175.7966281
133.57339030392856,52.39583333333334,-1.115916666666667,64.00333333333333,44.35333333333334,134.465,2.4916666666666667,0.859,201,410594.1629,5328009.314,191.413206
133.57339030392856,49.28,-0.9268333333333334,64.53250000000001,37.165,135.56916666666666,2.183333333333333,0.5680000000000001,230,400664.1567,5305133.431,227.3663588
120.73956398590605,49.8175,-1.5284166666666668,62.51916666666668,48.1925,132.06833333333336,2.25,0.6272,126,424734.6084,5394380.99,124.8168006
133.57339030392856,52.36333333333334,-1.123916666666667,63.17916666666667,44.2625,134.09916666666666,2.6416666666666666,0.595,208,414846.4911,5327902.351,206.6074508
133.57339030392856,51.07916666666667,-1.2930833333333334,64.12333333333333,47.07916666666667,131.8975,2.5416666666666665,0.8353,126,438272.2132,5405387.62,116.2108302
120.73956398590605,50.36166666666667,-1.46425,62.86916666666667,47.935833333333335,132.02166666666668,2.725,0.86,132,427338.566,5393951.162,127.1569812
120.73956398590605,46.29166666666667,-1.7238333333333333,64.6425,44.1775,130.67416666666665,2.125,0.7321000000000001,103,450676.2993,5434735.964,99.9400385
120.73956398590605,49.05833333333334,-1.4245833333333335,63.087500000000006,46.653333333333336,131.90916666666666,2.7666666666666666,0.8441000000000001,117,442989.342,5416505.197,109.3695982
120.73956398590605,46.21666666666667,-1.845,65.075,47.96416666666667,128.6641666666667,1.8333333333333333,0.5688,97,460979.2593,5463727.415,92.51950843
120.73956398590605,46.42,-1.7304166666666667,64.6675,44.895,130.78416666666666,2.091666666666667,0.48760000000000003,111,452003.7744,5434946.877,100.9971852
92.18530922955416,46.79166666666667,-1.916,65.22333333333334,50.76583333333334,126.68833333333335,1.6,0.5193,102,469560.873,5482608.91,92.81093185
133.57339030392856,46.97833333333334,-1.8171666666666668,64.05083333333333,49.28333333333333,130.01166666666666,2.3583333333333334,0.5205000000000001,113,465553.4144,5438269.53,108.8257505
92.18530922955416,50.656666666666666,-1.871833333333333,65.02250000000001,59.105,127.28,2.825,0.5328,110,476282.1769,5475494.674,96.72815682
92.18530922955416,49.99416666666667,-1.828083333333333,65.665,56.49416666666667,127.25916666666667,2.2,0.4903,111,477055.8639,5469075.213,98.13828544
