GW-Nummer,x,y,Nitrat,huek_250_he*,buek_200_bodtyp*,clc5_2018*,gk_1000*,humus_1000*,hyraum_tr*,Thuenen_2019*,mundialis*,NDVI
1388,450444.3093,5405421.69,8.4,265,32,3,659,12,10101,888,40,4092
1389,472195.9224,5494948.068,0.5,263,32,12,24,5,3101,10,20,6692
1390,512287.7465,5401276.267,25.3,521,22,1,597,13,6301,888,40,4278
1391,484680.8855,5479167.195,4.8875,559,2,18,615,7,6201,888,10,8667
1392,486063.289,5477185.028,6.466666667,559,2,15,615,7,6201,160,60,7885
1393,508255.3826,5411107.241,39.7,521,14,3,598,5,6301,888,40,4471
1394,487099.8351,5460994.466,6.1,530,32,3,603,5,6203,888,40,5720
1395,478489.9696,5475410.657,8.323529412,502,2,16,615,7,6201,888,20,8328
1396,483108.4764,5466982.034,7.75,548,4,16,610,7,6201,888,10,7882
1397,472235.7948,5470897.527,35.05714286,263,14,12,85,5,3101,888,50,5385
1398,481028.309,5476135.35,13.01875,559,2,18,807,7,6201,888,10,8823
1399,472545.6839,5470928.539,40.42222222,263,14,15,85,5,3101,999,20,5889
1400,472934.528,5470842.556,42.05,263,14,11,85,5,3101,888,20,5862
1401,459790.8758,5491651.422,1.5875,263,5,12,24,5,3101,92,60,7029
1402,407831.2284,5321429.905,8.025,267,5,3,85,8,3101,888,40,4644
1403,407494.3479,5321149.941,12.2,267,5,3,85,8,3101,888,20,6115
1404,457401.5841,5433405.436,4.622222222,263,2,17,85,7,3101,555,20,7888
1405,407802.8617,5320326.862,11.8,267,5,2,85,8,3101,888,20,6746
1406,451143.2331,5420978.042,0.966666667,263,14,16,85,7,3101,888,20,8820
1407,472005.9047,5469011.277,13.27777778,263,14,12,24,5,3101,999,40,4836
1408,467727.5998,5460504.671,17.58888889,263,14,3,65,7,3101,888,40,4882
1409,465603.4149,5459755.01,54.62222222,263,14,3,85,5,3101,888,40,4635
1410,468227.4053,5459385.125,67.26666667,263,14,11,24,5,3101,888,20,5168
1411,469990.3517,5456272.813,32.18888889,263,2,12,65,7,3101,888,40,7604
1412,457206.6843,5428437.454,0.525,263,22,3,85,13,3101,888,10,4645
1413,455298.4604,5428069.617,4,263,22,1,65,13,3101,888,10,4321
1414,415381.2133,5325594.244,57.78888889,267,5,12,85,5,3101,888,60,6060
1415,419819.5021,5325984.034,32.15,267,5,12,752,5,10101,33,60,5931
1416,454621.3131,5428864.987,2.48,263,14,4,65,13,3101,888,20,4508
1417,512398.6722,5406927.971,14.38333333,521,22,3,597,13,6301,888,40,2561
1418,455224.4529,5430590.592,0.5,263,14,3,65,13,3101,888,10,5106
1419,472280.7586,5459718.946,78,263,14,12,65,5,3101,60,50,5258
1420,467304.7816,5470376.756,53.97692308,263,14,2,24,5,3101,888,50,5025
1421,466768.9782,5467595.132,38.76666667,263,2,12,65,5,3101,888,40,4578
1422,472538.7412,5486015.566,0.528571429,263,32,12,33,5,3101,31,60,6219
1423,474424.9742,5493091.663,0.5,263,32,2,836,5,3101,888,40,4240
1424,474532.9856,5486078.594,51.1,263,5,3,24,5,3101,888,40,5509
1425,469656.8547,5469880.943,24.04444444,263,14,3,24,12,3101,888,40,3827
1426,463045.532,5487198.136,20.75,263,14,2,65,13,3101,888,10,6883
1427,462008.5411,5489017.732,1.1,263,14,11,65,12,3101,888,40,5885
1428,515176.5274,5406234.278,0.5,469,14,3,24,13,6301,888,40,4805
1429,473550.3523,5483317.623,33.3,263,14,12,24,5,3101,888,50,5493
1430,462310.8709,5478746.079,0.5,263,5,2,24,13,3101,888,20,5009
1431,461930.0052,5491212.545,0.888888889,263,5,12,33,5,3101,888,40,6587
1432,454287.6096,5429423.364,5.5,263,14,3,65,13,3101,888,20,5014
1433,463517.3376,5483060.744,51.3875,263,14,3,24,13,3101,888,40,3423
1434,455266.4756,5431776.127,9.133333333,263,14,10,85,13,3101,888,20,6026
1435,520196.5405,5398549.291,54.98,469,2,2,24,5,6301,888,20,4266
1436,475384.6399,5486834.246,21.58,265,29,3,444,5,3101,888,40,4914
1437,473723.2225,5475598.691,19.55789474,263,14,12,24,5,3101,888,10,5668
1438,463613.2272,5448124.674,14.46666667,263,14,12,65,5,3101,888,50,4434
1439,469141.9971,5470587.672,65.74,263,14,1,24,12,3101,888,40,3676
1440,523190.3115,5394952.798,49.18571429,508,15,12,585,5,6302,888,40,5739
1441,521356.0971,5398469.329,13.02,469,32,3,24,12,6301,888,40,3675
1442,521745.9434,5398389.347,9.483333333,469,32,2,24,12,6301,888,40,4297
1443,469001.5808,5472974.748,61.02222222,263,14,12,85,5,3101,160,60,4678
1444,472660.6071,5491187.524,0.5,263,32,15,24,5,3101,10,60,6984
1445,456380.0147,5429040.212,1.5,263,14,10,85,13,3101,888,20,6739
1446,472527.7193,5489612.125,0.633333333,263,32,12,24,5,3101,10,20,6140
1447,464113.4408,5466280.758,12.98888889,263,32,2,33,5,3101,888,20,6576
1448,466190.2762,5487067.203,1.25,263,2,18,65,7,3101,888,10,8326
1449,514009.7507,5403839.361,0.583333333,467,22,1,597,13,6301,888,50,4138
1450,472693.6635,5472617.887,23.58888889,263,14,10,85,12,3101,888,40,5664
1451,523512.2232,5415918.284,29.28571429,521,15,12,597,5,6301,80,50,6471
1452,522645.5887,5414722.787,43.01666667,524,14,12,603,5,6301,80,60,6455
1453,474534.9437,5487024.15,17.98,263,32,12,24,5,3101,888,40,5886
1454,474226.0388,5472035.126,45.33333333,263,14,1,85,12,3101,888,40,4715
1455,468687.2327,5475088.891,31.54210526,263,14,11,65,5,3101,140,40,5037
1456,468697.2477,5474355.179,37.05555556,263,14,16,65,5,3101,888,40,7608
1457,475152.1723,5478410.987,72.15714286,265,14,12,444,5,3101,92,60,5919
1458,468331.9542,5471826.128,42.47777778,263,2,3,24,12,3101,888,40,4293
1459,457971.4344,5438493.445,7.06,263,14,18,65,7,3101,888,10,5488
1460,453251.0068,5432796.866,0.5,263,12,3,33,5,3101,888,40,6745
1461,472548.6776,5469903.934,30.1875,263,14,15,85,5,3101,999,40,5989
1462,474616.8773,5468569.428,12.57692308,263,32,2,24,5,3101,888,40,5716
1463,469956.75,5476668.26,23.75555556,263,14,3,24,5,3101,888,40,5333
1464,468777.2396,5481686.301,55.47777778,263,14,12,24,5,3101,888,40,5886
